deps,attempts,iter,abom_filters,abom_bytes,true_present,true_absent,false_present,false_absent,true_success_rate,false_positive_rate
10000,100000,1,20,42231,20000,0,112,99888,1.0,0.00112
1,100000,10,1,13,2,0,0,100000,1.0,0.0
10000,100000,2,20,42214,20000,0,113,99887,1.0,0.00113
10000,100000,3,20,42208,20000,0,117,99883,1.0,0.00117
10000,100000,7,20,42206,20000,0,130,99870,1.0,0.0013
10,100000,10,1,74,20,0,0,100000,1.0,0.0
10000,100000,6,20,42188,20000,0,107,99893,1.0,0.00107
10000,100000,4,20,42188,20000,0,109,99891,1.0,0.00109
10000,100000,5,20,42202,20000,0,128,99872,1.0,0.00128
1000,100000,7,2,4224,2000,0,11,99989,1.0,0.00011
1,100000,1,1,13,2,0,0,100000,1.0,0.0
1000,100000,6,2,4224,2000,0,19,99981,1.0,0.00019
100,100000,8,1,543,200,0,0,100000,1.0,0.0
1000,100000,4,2,4222,2000,0,9,99991,1.0,9e-05
1,100000,3,1,13,2,0,0,100000,1.0,0.0
1,100000,2,1,13,2,0,0,100000,1.0,0.0
1000,100000,5,2,4216,2000,0,12,99988,1.0,0.00012
100,100000,9,1,542,200,0,0,100000,1.0,0.0
1000,100000,1,2,4222,2000,0,8,99992,1.0,8e-05
1,100000,6,1,13,2,0,0,100000,1.0,0.0
1,100000,7,1,13,2,0,0,100000,1.0,0.0
1000,100000,2,2,4227,2000,0,7,99993,1.0,7e-05
1,100000,5,1,13,2,0,0,100000,1.0,0.0
10,100000,9,1,74,20,0,0,100000,1.0,0.0
10,100000,8,1,74,20,0,0,100000,1.0,0.0
1,100000,4,1,13,2,0,0,100000,1.0,0.0
1000,100000,3,2,4222,2000,0,12,99988,1.0,0.00012
100,100000,2,1,543,200,0,1,99999,1.0,1e-05
1,100000,9,1,13,2,0,0,100000,1.0,0.0
10,100000,5,1,74,20,0,0,100000,1.0,0.0
10,100000,4,1,74,20,0,0,100000,1.0,0.0
1,100000,8,1,13,2,0,0,100000,1.0,0.0
100,100000,3,1,543,200,0,0,100000,1.0,0.0
100,100000,1,1,542,200,0,0,100000,1.0,0.0
10,100000,6,1,74,20,0,0,100000,1.0,0.0
1,1000000,1,1,13,2,0,0,1000000,1.0,0.0
10,100000,7,1,74,20,0,0,100000,1.0,0.0
100,100000,4,1,543,200,0,0,100000,1.0,0.0
1000,100000,8,2,4224,2000,0,12,99988,1.0,0.00012
10,100000,3,1,74,20,0,0,100000,1.0,0.0
10,100000,2,1,74,20,0,0,100000,1.0,0.0
1000,100000,9,2,4221,2000,0,6,99994,1.0,6e-05
100,100000,5,1,543,200,0,0,100000,1.0,0.0
100,100000,7,1,543,200,0,0,100000,1.0,0.0
1000,100000,10,2,4229,2000,0,11,99989,1.0,0.00011
10,100000,1,1,74,20,0,0,100000,1.0,0.0
100,100000,6,1,542,200,0,0,100000,1.0,0.0
10000,100000,10,20,42205,19999,0,114,99886,1.0,0.00114
10000,100000,8,20,42223,20000,0,108,99892,1.0,0.00108
10000,100000,9,20,42214,20000,0,116,99884,1.0,0.00116
100,100000,10,1,543,200,0,0,100000,1.0,0.0
